Date,Year,Month,Month_Name,Quarter,Day,Day_of_Week,Day_Name,Week_of_Year,Week_of_Month,Is_Weekend,Is_Month_Start,Is_Month_End,Transaction Description,Transaction_Description_Clean,Category,Amount,Type,Is_Income,Category_Avg_Amount,Monthly_Total_By_Category,Previous_Transaction_Amount,Rolling_7day_Avg,Rolling_30day_Avg,Days_Since_Last_Transaction,Cumulative_Spending_By_Category,Transaction_Count_By_Category
2020-01-25,2020,1,January,1,25,5,Saturday,4,4,1,0,0,Play move each left establish.,Play move each left establish.,Health & Fitness,1211.41,Expense,0,955.2240789473684,2370.34,766.06,1467.8442857142857,1519.2963636363636,0.0,1211.41,1
2020-01-26,2020,1,January,1,26,6,Sunday,4,4,1,0,0,Range successful simply.,Range successful simply.,Salary,1077.09,Expense,0,1020.9147260273971,1077.09,1211.41,1460.7314285714288,1482.4458333333332,1.0,1077.09,1
2020-01-29,2020,1,January,1,29,2,Wednesday,5,5,0,0,0,Source husband.,Source husband.,Shopping,166.81,Expense,0,979.205,1178.6599999999999,1077.09,1420.4642857142858,1381.2430769230768,3.0,615.49,2
2020-01-30,2020,1,January,1,30,3,Thursday,5,5,0,0,0,Tree note responsibility.,Tree note responsibility.,Health & Fitness,1158.93,Expense,0,955.2240789473684,2370.34,166.81,1368.8785714285714,1365.3635714285715,1.0,2370.34,2
2020-01-31,2020,1,January,1,31,4,Friday,5,5,0,0,1,How trip learn enter.,How trip learn enter.,Food & Drink,1325.91,Expense,0,1070.425436241611,5458.51,1158.93,1088.722857142857,1362.7333333333333,1.0,5458.51,4
2020-01-31,2020,1,January,1,31,4,Friday,5,5,0,0,1,Much section investment on gun.,Much section investment on gun.,Rent,1712.08,Expense,0,982.2750909090909,3663.22,1325.91,1059.7557142857142,1384.5675,0.0,3663.22,3
2020-01-31,2020,1,January,1,31,4,Friday,5,5,0,0,1,Management sense technology check civil.,Management sense technology check civil.,Shopping,563.17,Expense,0,979.205,1178.6599999999999,1712.08,1030.7714285714285,1336.25,0.0,1178.6599999999999,3
2020-02-02,2020,2,February,1,2,6,Sunday,5,1,1,0,0,As high you more wife.,As high you more wife.,Health & Fitness,333.68,Expense,0,955.2240789473684,766.81,563.17,905.3814285714286,1280.5516666666667,2.0,2704.02,3
2020-02-04,2020,2,February,1,4,1,Tuesday,6,1,0,0,0,Race mr.,Race mr.,Travel,1406.62,Expense,0,1059.3611875000001,7272.28,333.68,952.4571428571427,1287.1868421052632,2.0,1406.62,1
2020-02-05,2020,2,February,1,5,2,Wednesday,6,1,0,0,0,Born itself law west.,Born itself law west.,Rent,1222.17,Expense,0,982.2750909090909,1222.17,1406.62,1103.222857142857,1283.9360000000001,1.0,4885.389999999999,4
2020-02-05,2020,2,February,1,5,2,Wednesday,6,1,0,0,0,Seven medical blood personal.,Seven medical blood personal.,Investment,1838.0,Income,1,2558.112676056338,7194.0,1222.17,1200.232857142857,1310.3200000000002,0.0,4129.0,2
2020-02-07,2020,2,February,1,7,4,Friday,6,1,0,0,0,Current hear claim well two.,Current hear claim well two.,Travel,1979.15,Expense,0,1059.3611875000001,7272.28,1838.0,1293.552857142857,1340.7213636363635,2.0,3385.77,2
2020-02-07,2020,2,February,1,7,4,Friday,6,1,0,0,0,Food affect upon these story.,Food affect upon these story.,Entertainment,1372.38,Expense,0,1036.1221678321679,3199.5200000000004,1979.15,1245.0242857142857,1342.0978260869565,0.0,3287.23,2
2020-02-08,2020,2,February,1,8,5,Saturday,6,2,1,0,0,Staff within mouth call.,Staff within mouth call.,Other,3786.0,Income,1,2726.7279411764707,12876.0,1372.38,1705.4285714285713,1443.9270833333333,1.0,7073.0,2
2020-02-08,2020,2,February,1,8,5,Saturday,6,2,1,0,0,Around there water.,Around there water.,Food & Drink,465.81,Expense,0,1070.425436241611,1829.57,3786.0,1724.3042857142857,1404.8023999999998,0.0,5924.320000000001,5
2020-02-09,2020,2,February,1,9,6,Sunday,6,2,1,0,0,Close month parent who up.,Close month parent who up.,Entertainment,1827.14,Expense,0,1036.1221678321679,3199.5200000000004,465.81,1784.3785714285716,1421.0461538461536,1.0,5114.37,3
2020-02-11,2020,2,February,1,11,1,Tuesday,7,2,0,0,0,Human public health.,Human public health.,Health & Fitness,433.13,Expense,0,955.2240789473684,766.81,1827.14,1671.6585714285716,1384.4566666666667,2.0,3137.15,4
2020-02-13,2020,2,February,1,13,3,Thursday,7,2,0,0,0,Building different full open.,Building different full open.,Salary,294.31,Expense,0,1020.9147260273971,294.31,433.13,1451.1314285714286,1345.5228571428572,2.0,1371.3999999999999,2
2020-02-15,2020,2,February,1,15,5,Saturday,7,3,1,0,0,Detail audience piece director town.,Detail audience piece director town.,Other,4009.0,Income,1,2726.7279411764707,12876.0,294.31,1741.1100000000001,1437.366896551724,2.0,11082.0,3
2020-02-16,2020,2,February,1,16,6,Sunday,7,3,1,0,0,Method everything.,Method everything.,Shopping,730.37,Expense,0,979.205,1499.79,4009.0,1649.3942857142854,1413.8003333333334,1.0,1909.03,4
2020-02-16,2020,2,February,1,16,6,Sunday,7,3,1,0,0,Much rich think.,Much rich think.,Utilities,1023.96,Expense,0,935.2482165605096,1023.96,730.37,1254.8171428571427,1398.4093333333333,0.0,2499.54,2
2020-02-18,2020,2,February,1,18,1,Tuesday,8,3,0,0,0,Drug list imagine behind.,Drug list imagine behind.,Investment,1398.0,Income,1,2558.112676056338,7194.0,1023.96,1387.9871428571428,1395.8233333333335,2.0,5527.0,3
2020-02-19,2020,2,February,1,19,2,Wednesday,8,3,0,0,0,Interest level rock pull.,Interest level rock pull.,Investment,3958.0,Income,1,2558.112676056338,7194.0,1398.0,1692.3957142857143,1488.2540000000001,1.0,9485.0,4
2020-02-20,2020,2,February,1,20,3,Thursday,8,3,0,0,0,I fund.,I fund.,Shopping,769.42,Expense,0,979.205,1499.79,3958.0,1740.4371428571428,1437.5346666666667,1.0,2678.45,5
2020-02-26,2020,2,February,1,26,2,Wednesday,9,4,0,0,0,Court movie cell.,Court movie cell.,Travel,1942.45,Expense,0,1059.3611875000001,7272.28,769.42,1975.8857142857141,1464.7203333333332,6.0,5328.22,3
2020-02-27,2020,2,February,1,27,3,Thursday,9,4,0,0,0,Leg themselves away.,Leg themselves away.,Food & Drink,1363.76,Expense,0,1070.425436241611,1829.57,1942.45,1597.9942857142855,1495.2229999999997,1.0,7288.08,6
2020-02-28,2020,2,February,1,28,4,Friday,9,4,0,0,0,Anything yourself.,Anything yourself.,Other,3286.0,Income,1,2726.7279411764707,12876.0,1363.76,1963.0842857142857,1554.0886666666665,1.0,14368.0,4
2020-02-28,2020,2,February,1,28,4,Friday,9,4,0,0,0,Unit support.,Unit support.,Other,1795.0,Income,1,2726.7279411764707,12876.0,3286.0,2073.232857142857,1504.3553333333332,0.0,16163.0,5
2020-02-29,2020,2,February,1,29,5,Saturday,9,5,1,0,1,Magazine degree husband around.,Magazine degree husband around.,Travel,1944.06,Expense,0,1059.3611875000001,7272.28,1795.0,2151.2414285714285,1505.329,1.0,7272.28,4
2020-03-03,2020,3,March,1,3,1,Tuesday,10,1,0,0,0,World enter.,World enter.,Rent,1742.33,Expense,0,982.2750909090909,6241.21,1944.06,1834.7171428571426,1537.8713333333333,3.0,6627.719999999999,5
2020-03-04,2020,3,March,1,4,2,Wednesday,10,1,0,0,0,Institution whatever yet.,Institution whatever yet.,Entertainment,314.15,Expense,0,1036.1221678321679,1887.0500000000002,1742.33,1769.678571428571,1507.9626666666666,1.0,5428.52,4
2020-03-04,2020,3,March,1,4,2,Wednesday,10,1,0,0,0,Choice father why often.,Choice father why often.,Food & Drink,1201.9,Expense,0,1070.425436241611,1353.18,314.15,1663.8857142857144,1512.123,0.0,8489.98,7
2020-03-09,2020,3,March,1,9,0,Monday,11,2,0,0,0,Security arm.,Security arm.,Rent,1858.91,Expense,0,982.2750909090909,6241.21,1201.9,1734.6214285714286,1568.526333333333,5.0,8486.63,6
2020-03-09,2020,3,March,1,9,0,Monday,11,2,0,0,0,Me system church whether.,Me system church whether.,Travel,486.51,Expense,0,1059.3611875000001,486.51,1858.91,1334.6942857142858,1546.1123333333335,0.0,7758.79,5
2020-03-11,2020,3,March,1,11,2,Wednesday,11,2,0,0,0,Attention attack technology.,Attention attack technology.,Rent,180.45,Expense,0,982.2750909090909,6241.21,486.51,1104.0442857142857,1507.9303333333332,2.0,8667.08,7
2020-03-11,2020,3,March,1,11,2,Wednesday,11,2,0,0,0,Walk now often.,Walk now often.,Rent,1956.19,Expense,0,982.2750909090909,6241.21,180.45,1105.7771428571427,1516.0673333333332,0.0,10623.27,8
2020-03-12,2020,3,March,1,12,3,Thursday,11,2,0,0,0,Enter capital population.,Enter capital population.,Utilities,537.46,Expense,0,935.2482165605096,802.96,1956.19,933.6528571428572,1515.2103333333332,1.0,3037.0,3
2020-03-12,2020,3,March,1,12,3,Thursday,11,2,0,0,0,Bank price north first end.,Bank price north first end.,Utilities,265.5,Expense,0,935.2482165605096,802.96,537.46,926.7028571428572,1512.9376666666665,0.0,3302.5,4
2020-03-14,2020,3,March,1,14,5,Saturday,11,2,1,0,0,Upon very act perform.,Upon very act perform.,Shopping,1929.08,Expense,0,979.205,1929.08,265.5,1030.5857142857144,1530.3529999999998,2.0,4607.53,6
2020-03-15,2020,3,March,1,15,6,Sunday,11,3,1,0,0,Available defense.,Available defense.,Entertainment,1428.77,Expense,0,1036.1221678321679,1887.0500000000002,1929.08,969.1371428571429,1537.2396666666666,1.0,6857.29,5
2020-03-18,2020,3,March,1,18,2,Wednesday,12,3,0,0,0,Value thing these.,Value thing these.,Health & Fitness,881.82,Expense,0,955.2240789473684,881.82,1428.77,1025.6100000000001,1505.367,3.0,4018.9700000000003,5
2020-03-21,2020,3,March,1,21,5,Saturday,12,3,1,0,0,Citizen street region.,Citizen street region.,Rent,503.33,Expense,0,982.2750909090909,6241.21,881.82,1071.7357142857143,1456.1729999999998,3.0,11126.6,9
2020-03-23,2020,3,March,1,23,0,Monday,13,4,0,0,0,Property never.,Property never.,Investment,2385.0,Income,1,2558.112676056338,2385.0,503.33,1132.9942857142858,1489.927,2.0,11870.0,5
2020-03-23,2020,3,March,1,23,0,Monday,13,4,0,0,0,Enough threat score.,Enough threat score.,Food & Drink,151.28,Expense,0,1070.425436241611,1353.18,2385.0,1077.8257142857142,1368.7696666666666,0.0,8641.26,8
2020-03-24,2020,3,March,1,24,1,Tuesday,13,4,0,0,0,Example decision garden.,Example decision garden.,Entertainment,144.13,Expense,0,1036.1221678321679,1887.0500000000002,151.28,1060.4871428571428,1358.047,1.0,7001.42,6
2020-03-28,2020,3,March,1,28,5,Saturday,13,4,1,0,0,Major town suffer begin.,Major town suffer begin.,Other,1080.0,Income,1,2726.7279411764707,1080.0,144.13,939.1899999999999,1333.1423333333335,4.0,17243.0,6
2020-04-01,2020,4,April,2,1,2,Wednesday,14,1,0,1,0,Analysis four capital.,Analysis four capital.,Travel,1341.27,Expense,0,1059.3611875000001,3195.04,1080.0,926.6899999999999,1363.4136666666666,4.0,9100.06,6
2020-04-05,2020,4,April,2,5,6,Sunday,14,1,1,0,0,Scientist necessary into.,Scientist necessary into.,Utilities,1449.47,Expense,0,935.2482165605096,3063.17,1341.27,1007.7828571428571,1401.919,4.0,4751.97,5
2020-04-06,2020,4,April,2,6,0,Monday,15,1,0,0,0,Along hard need involve among.,Along hard need involve among.,Shopping,388.92,Expense,0,979.205,388.92,1449.47,991.4385714285714,1281.2496666666666,1.0,4996.45,7
2020-04-06,2020,4,April,2,6,0,Monday,15,1,0,0,0,Away third.,Away third.,Salary,493.56,Expense,0,1020.9147260273971,2222.6,388.92,721.2328571428571,1273.356,0.0,1864.96,3
2020-04-10,2020,4,April,2,10,4,Friday,15,2,0,0,0,Together decide.,Together decide.,Other,3402.0,Income,1,2726.7279411764707,3402.0,493.56,1185.6214285714286,1352.624,4.0,20645.0,7
2020-04-17,2020,4,April,2,17,4,Friday,16,3,0,0,0,Government nice.,Government nice.,Salary,1729.04,Expense,0,1020.9147260273971,2222.6,3402.0,1412.037142857143,1363.6586666666665,7.0,3594.0,4
2020-04-17,2020,4,April,2,17,4,Friday,16,3,0,0,0,See understand door class son.,See understand door class son.,Investment,996.0,Income,1,2558.112676056338,3968.0,1729.04,1400.037142857143,1264.9253333333331,0.0,12866.0,6
2020-04-18,2020,4,April,2,18,5,Saturday,16,3,1,0,0,Agent say forward us.,Agent say forward us.,Health & Fitness,1603.18,Expense,0,955.2240789473684,1603.18,996.0,1437.452857142857,1292.7173333333333,1.0,5622.150000000001,6
2020-04-22,2020,4,April,2,22,2,Wednesday,17,4,0,0,0,City red him.,City red him.,Investment,2058.0,Income,1,2558.112676056338,3968.0,1603.18,1524.3857142857144,1296.5690000000002,4.0,14924.0,7
2020-04-23,2020,4,April,2,23,3,Thursday,17,4,0,0,0,Develop staff least figure.,Develop staff least figure.,Utilities,849.54,Expense,0,935.2482165605096,3063.17,2058.0,1590.1885714285713,1279.4283333333333,1.0,5601.51,6
2020-04-25,2020,4,April,2,25,5,Saturday,17,4,1,0,0,Age cover foreign.,Age cover foreign.,Entertainment,1750.23,Expense,0,1036.1221678321679,3821.84,849.54,1769.712857142857,1228.236,2.0,8751.65,7
2020-04-26,2020,4,April,2,26,6,Sunday,17,4,1,0,0,Go meeting quickly.,Go meeting quickly.,Investment,914.0,Income,1,2558.112676056338,3968.0,1750.23,1414.284285714286,1198.8693333333333,1.0,15838.0,8
2020-04-26,2020,4,April,2,26,6,Sunday,17,4,1,0,0,Voice boy wife condition.,Voice boy wife condition.,Food & Drink,1938.3,Expense,0,1070.425436241611,1938.3,914.0,1444.1785714285713,1198.6773333333335,0.0,10579.56,9
2020-04-27,2020,4,April,2,27,0,Monday,18,4,0,0,0,Paper memory history office.,Paper memory history office.,Entertainment,1730.65,Expense,0,1036.1221678321679,3821.84,1938.3,1549.1285714285714,1198.288,1.0,10482.3,8
2020-04-27,2020,4,April,2,27,0,Monday,18,4,0,0,0,Board its.,Board its.,Entertainment,340.96,Expense,0,1036.1221678321679,3821.84,1730.65,1368.8114285714287,1199.1816666666666,0.0,10823.26,9
2020-04-29,2020,4,April,2,29,2,Wednesday,18,5,0,0,0,Remember ability.,Remember ability.,Utilities,764.16,Expense,0,935.2482165605096,3063.17,340.96,1183.9771428571428,1184.5903333333333,2.0,6365.67,7
2020-04-30,2020,4,April,2,30,3,Thursday,18,5,0,0,1,Hair attorney professional.,Hair attorney professional.,Travel,1853.77,Expense,0,1059.3611875000001,3195.04,764.16,1327.4385714285713,1184.419,1.0,10953.83,7
2020-05-01,2020,5,May,2,1,4,Friday,18,1,0,1,0,Finish summer rest feel finally.,Finish summer rest feel finally.,Travel,851.78,Expense,0,1059.3611875000001,4288.25,1853.77,1199.0885714285716,1196.5946666666669,1.0,11805.61,8
2020-05-03,2020,5,May,2,3,6,Sunday,18,1,1,0,0,I fast camera inside.,I fast camera inside.,Salary,318.05,Expense,0,1020.9147260273971,318.05,851.78,1113.952857142857,1201.1813333333334,2.0,3912.05,5
2020-05-03,2020,5,May,2,3,6,Sunday,18,1,1,0,0,Past feeling nature.,Past feeling nature.,Food & Drink,1162.57,Expense,0,1070.425436241611,2501.62,318.05,1003.1342857142857,1174.7273333333333,0.0,11742.130000000001,10
2020-05-05,2020,5,May,2,5,1,Tuesday,19,1,0,0,0,Expert involve oil.,Expert involve oil.,Health & Fitness,123.76,Expense,0,955.2240789473684,2893.98,1162.57,773.5785714285713,1160.9373333333335,2.0,5745.910000000001,7
2020-05-06,2020,5,May,2,6,2,Wednesday,19,1,0,0,0,Kid put memory soldier.,Kid put memory soldier.,Utilities,123.19,Expense,0,935.2482165605096,1703.51,123.76,742.4685714285714,1156.1936666666668,1.0,6488.86,8
2020-05-06,2020,5,May,2,6,2,Wednesday,19,1,0,0,0,Exist professional.,Exist professional.,Utilities,146.36,Expense,0,935.2482165605096,1703.51,123.19,654.2114285714285,1096.7696666666668,0.0,6635.22,9
2020-05-07,2020,5,May,2,7,3,Thursday,19,1,0,0,0,Stand seem.,Stand seem.,Investment,3807.0,Income,1,2558.112676056338,6008.0,146.36,933.2442857142858,1176.044,1.0,19645.0,9
2020-05-11,2020,5,May,2,11,0,Monday,20,2,0,0,0,Southern challenge animal.,Southern challenge animal.,Investment,825.0,Income,1,2558.112676056338,6008.0,3807.0,929.4185714285715,1174.15,4.0,20470.0,10
2020-05-12,2020,5,May,2,12,1,Tuesday,20,2,0,0,0,Sure authority increase picture create.,Sure authority increase picture create.,Shopping,1318.17,Expense,0,979.205,1318.17,825.0,1072.2928571428572,1201.3113333333333,1.0,6314.62,8
2020-05-13,2020,5,May,2,13,2,Wednesday,20,2,0,0,0,Hundred challenge reach throughout.,Hundred challenge reach throughout.,Health & Fitness,1870.07,Expense,0,955.2240789473684,2893.98,1318.17,1173.3642857142856,1184.147,1.0,7615.9800000000005,8
2020-05-14,2020,5,May,2,14,3,Thursday,20,2,0,0,0,Despite sound receive let.,Despite sound receive let.,Health & Fitness,484.99,Expense,0,955.2240789473684,2893.98,1870.07,1224.9685714285715,1195.2706666666668,1.0,8100.97,9
2020-05-15,2020,5,May,2,15,4,Friday,20,3,0,0,0,True building card.,True building card.,Travel,919.88,Expense,0,1059.3611875000001,4288.25,484.99,1338.7814285714285,1221.1290000000001,1.0,12725.49,9
2020-05-16,2020,5,May,2,16,5,Saturday,20,3,1,0,0,Write other wear through partner.,Write other wear through partner.,Rent,28.54,Expense,0,982.2750909090909,3822.55,919.88,1321.95,1186.0803333333336,1.0,11155.14,10
2020-05-17,2020,5,May,2,17,6,Sunday,20,3,1,0,0,Store natural today season.,Store natural today season.,Rent,155.79,Expense,0,982.2750909090909,3822.55,28.54,800.3485714285714,1146.5643333333333,1.0,11310.93,11
2020-05-19,2020,5,May,2,19,1,Tuesday,21,3,0,0,0,Else easy point she.,Else easy point she.,Travel,273.59,Expense,0,1059.3611875000001,4288.25,155.79,721.5757142857143,1107.368333333333,2.0,12999.08,10
2020-05-20,2020,5,May,2,20,2,Wednesday,21,3,0,0,0,Phone ever back experience.,Phone ever back experience.,Rent,1759.75,Expense,0,982.2750909090909,3822.55,273.59,784.6585714285713,1153.0626666666665,1.0,13070.68,12
2020-05-21,2020,5,May,2,21,3,Thursday,21,3,0,0,0,Floor music catch discuss.,Floor music catch discuss.,Utilities,881.99,Expense,0,935.2482165605096,1703.51,1759.75,643.5042857142859,1166.0103333333332,1.0,7517.21,10
2020-05-25,2020,5,May,2,25,0,Monday,22,4,0,0,0,Ask imagine my.,Ask imagine my.,Travel,1227.24,Expense,0,1059.3611875000001,4288.25,881.99,749.54,1093.5183333333334,4.0,14226.32,11
2020-05-27,2020,5,May,2,27,2,Wednesday,22,4,0,0,0,Deal information.,Deal information.,Food & Drink,1339.05,Expense,0,1070.425436241611,2501.62,1227.24,809.4214285714286,1080.5186666666666,2.0,13081.18,11
2020-05-28,2020,5,May,2,28,3,Thursday,22,4,0,0,0,Task she.,Task she.,Rent,1878.47,Expense,0,982.2750909090909,3822.55,1339.05,1073.6971428571428,1109.9343333333334,1.0,14949.15,13
2020-05-29,2020,5,May,2,29,4,Friday,22,5,0,0,0,Accept goal send table.,Accept goal send table.,Investment,1376.0,Income,1,2558.112676056338,6008.0,1878.47,1248.0128571428572,1102.3616666666667,1.0,21846.0,11
2020-05-30,2020,5,May,2,30,5,Saturday,22,5,1,0,0,Section national owner determine detail.,Section national owner determine detail.,Utilities,551.97,Expense,0,935.2482165605096,1703.51,1376.0,1287.7814285714285,1052.1606666666667,1.0,8069.18,11
2020-05-31,2020,5,May,2,31,6,Sunday,22,5,1,0,1,Ahead from quickly identify.,Ahead from quickly identify.,Health & Fitness,415.16,Expense,0,955.2240789473684,2893.98,551.97,1095.6971428571428,1037.6813333333332,1.0,8516.130000000001,10
2020-05-31,2020,5,May,2,31,6,Sunday,22,5,1,0,1,Try wonder move trade.,Try wonder move trade.,Travel,1015.76,Expense,0,1059.3611875000001,4288.25,415.16,1114.8071428571427,1013.1990000000001,0.0,15242.08,12
2020-06-01,2020,6,June,2,1,0,Monday,23,1,0,1,0,Base investment.,Base investment.,Food & Drink,193.67,Expense,0,1070.425436241611,426.29999999999995,1015.76,967.1542857142857,989.188,1.0,13274.85,12
2020-06-02,2020,6,June,2,2,1,Tuesday,23,1,0,0,0,Anyone here deep.,Anyone here deep.,Travel,97.73,Expense,0,1059.3611875000001,990.97,193.67,789.8228571428572,927.8356666666666,1.0,15339.81,13
2020-06-05,2020,6,June,2,5,4,Friday,23,1,0,0,0,Seven here sell story.,Seven here sell story.,Utilities,1277.86,Expense,0,935.2482165605096,5002.88,97.73,704.0214285714285,912.7426666666667,3.0,9347.04,12
2020-06-06,2020,6,June,2,6,5,Saturday,23,1,1,0,0,Like see.,Like see.,Salary,1107.84,Expense,0,1020.9147260273971,1107.84,1277.86,665.7128571428572,938.3053333333334,1.0,5019.889999999999,6
2020-06-07,2020,6,June,2,7,6,Sunday,23,1,1,0,0,Difference attention whatever american.,Difference attention whatever american.,Food & Drink,232.63,Expense,0,1070.425436241611,426.29999999999995,1107.84,620.0928571428573,920.5876666666667,1.0,13507.48,13
2020-06-08,2020,6,June,2,8,0,Monday,24,2,0,0,0,Current after charge.,Current after charge.,Utilities,1095.72,Expense,0,935.2482165605096,5002.88,232.63,717.3157142857143,895.3193333333332,1.0,10442.76,13
2020-06-09,2020,6,June,2,9,1,Tuesday,24,2,0,0,0,Paper white responsibility.,Paper white responsibility.,Other,826.0,Income,1,2726.7279411764707,12346.0,1095.72,690.2071428571428,894.4599999999999,1.0,21471.0,8
2020-06-09,2020,6,June,2,9,1,Tuesday,24,2,0,0,0,Prove nor design record.,Prove nor design record.,Utilities,865.28,Expense,0,935.2482165605096,5002.88,826.0,786.1514285714285,912.7010000000001,0.0,11308.04,14
2020-06-10,2020,6,June,2,10,2,Wednesday,24,2,0,0,0,Blue agent find.,Blue agent find.,Entertainment,1367.31,Expense,0,1036.1221678321679,4092.44,865.28,967.5200000000001,919.5256666666667,1.0,12190.57,10
2020-06-10,2020,6,June,2,10,2,Wednesday,24,2,0,0,0,Walk cup option store.,Walk cup option store.,Health & Fitness,1562.43,Expense,0,955.2240789473684,4901.3099999999995,1367.31,1008.172857142857,967.4813333333333,0.0,10078.560000000001,11
2020-06-11,2020,6,June,2,11,3,Thursday,24,2,0,0,0,Recent feeling.,Recent feeling.,Shopping,1947.94,Expense,0,979.205,2611.1800000000003,1562.43,1128.1871428571428,1028.3063333333334,1.0,8262.56,9
2020-06-11,2020,6,June,2,11,3,Thursday,24,2,0,0,0,Site girl into have media.,Site girl into have media.,Entertainment,1730.57,Expense,0,1036.1221678321679,4092.44,1947.94,1342.1785714285713,1081.1133333333335,0.0,13921.14,11
2020-06-12,2020,6,June,2,12,4,Friday,24,2,0,0,0,Support state.,Support state.,Utilities,1764.02,Expense,0,935.2482165605096,5002.88,1730.57,1437.6499999999999,1013.0139999999999,1.0,13072.06,15
2020-06-14,2020,6,June,2,14,6,Sunday,24,2,1,0,0,Whether player stock religious.,Whether player stock religious.,Other,3872.0,Income,1,2726.7279411764707,12346.0,1764.02,1872.792857142857,1114.5806666666665,2.0,25343.0,9
2020-06-15,2020,6,June,2,15,0,Monday,25,3,0,0,0,Safe whole establish.,Safe whole establish.,Entertainment,540.94,Expense,0,1036.1221678321679,4092.44,3872.0,1826.4585714285715,1088.673,1.0,14462.08,12
2020-06-18,2020,6,June,2,18,3,Thursday,25,3,0,0,0,Everything late.,Everything late.,Other,2322.0,Income,1,2726.7279411764707,12346.0,540.94,1962.8428571428574,1103.7373333333333,3.0,27665.0,10
2020-06-18,2020,6,June,2,18,3,Thursday,25,3,0,0,0,Let stay or focus.,Let stay or focus.,Rent,771.26,Expense,0,982.2750909090909,1547.8,2322.0,1849.8185714285717,1113.2796666666666,0.0,15720.41,14
2020-06-18,2020,6,June,2,18,3,Thursday,25,3,0,0,0,Particular her agreement surface consider.,Particular her agreement surface consider.,Other,3364.0,Income,1,2726.7279411764707,12346.0,771.26,2052.112857142857,1194.7503333333334,0.0,31029.0,11
2020-06-19,2020,6,June,2,19,4,Friday,25,3,0,0,0,Act way beat result major.,Act way beat result major.,Shopping,663.24,Expense,0,979.205,2611.1800000000003,3364.0,1899.637142857143,1215.907,1.0,8925.8,10
2020-06-19,2020,6,June,2,19,4,Friday,25,3,0,0,0,Something future they red.,Something future they red.,Entertainment,453.62,Expense,0,1036.1221678321679,4092.44,663.24,1712.4371428571428,1225.8346666666666,0.0,14915.7,13
2020-06-21,2020,6,June,2,21,6,Sunday,25,3,1,0,0,Position make society behavior.,Position make society behavior.,Travel,708.78,Expense,0,1059.3611875000001,990.97,453.62,1260.5485714285714,1240.3410000000001,2.0,16048.59,14
2020-06-21,2020,6,June,2,21,6,Sunday,25,3,1,0,0,Reality fill ok list.,Reality fill ok list.,Health & Fitness,1879.08,Expense,0,955.2240789473684,4901.3099999999995,708.78,1451.7114285714285,1244.3186666666666,0.0,11957.64,12
